骨架,格式,骨骼,预览,宽,高,包围盒,姿势,setup隐藏,警告,首条警告
NewUserBoardDiffTrait/spine/board1/gameplay_xinshou.json,Spine 3.8.99,2,_预览/NewUserBoardDiffTrait_spine_board1_gameplay_xinshou.png,900,1581,"-481,-800~479,907",setup pose,,0,
NewUserEarlyRoundsBoardTrait/spine/board1/gameplay_xinshou.json,Spine 3.8.99,2,_预览/NewUserEarlyRoundsBoardTrait_spine_board1_gameplay_xinshou.png,900,1581,"-481,-800~479,907",setup pose,,0,
OneStepClearGuideTrait/spine/gameplay_Guide_glow.json,Spine 3.8.99,10,_预览/OneStepClearGuideTrait_spine_gameplay_Guide_glow.png,900,899,"-165,-165~165,165",setup pose,,0,
PreEliminateGemBreathTrait/res/gameplay_xingxing_g.json,Spine 3.8.99,126,_预览/PreEliminateGemBreathTrait_res_gameplay_xingxing_g.png,900,1285,"-179,-169~165,326",setup pose,,0,
ReplaceGuideSchemeTrait/spine/gameplay_xinshou.json,Spine 3.8.99,56,_预览/ReplaceGuideSchemeTrait_spine_gameplay_xinshou.png,900,1277,"-364,-488~356,543",setup pose,,0,
ReviveBlockGrayAnimTrait/dragonbones/gameplay_over_color_ske.json,DragonBones,2,_预览/ReviveBlockGrayAnimTrait_dragonbones_gameplay_over_color_ske.png,900,900,"-53,-53~53,53",setup pose,,0,
ReviveUITimeEffectChangeTrait/spines/revive_number.json,Spine 3.8.99,6,_预览/ReviveUITimeEffectChangeTrait_spines_revive_number.png,900,899,"-226,-220~226,232",setup pose,,0,
ShowEffectWhenInitEmptyBoardTrait/dragonbones/gameplay_emptyNew_ske.json,DragonBones,69,_预览/ShowEffectWhenInitEmptyBoardTrait_dragonbones_gameplay_emptyNew_ske.png,900,900,"-496,-496~496,496",setup pose,,0,
ShowLoginDaysTrait/dragonbones/main_days_ske.json,DragonBones,14,_预览/ShowLoginDaysTrait_dragonbones_main_days_ske.png,900,336,"-269,-89~261,101",动画首帧 third_lz,,1,摆的是动画 third_lz 的第 5 帧(显示插槽最多的那一帧)
ShowSSSWhenSkinChangeTrait/dragonbones/gameplay_pfxyd_ske.json,DragonBones,152,_预览/ShowSSSWhenSkinChangeTrait_dragonbones_gameplay_pfxyd_ske.png,900,996,"-1744,-1918~1757,1970",动画首帧 sss,,1,摆的是动画 sss 的第 45 帧(显示插槽最多的那一帧)
ShowSSSWhenSkinChangeTrait/dragonbones/newArt/gameplay_pfxyd_ske.json,DragonBones,150,_预览/ShowSSSWhenSkinChangeTrait_dragonbones_newArt_gameplay_pfxyd_ske.png,900,921,"-1942,-1921~1856,1972",动画首帧 sss,,1,摆的是动画 sss 的第 45 帧(显示插槽最多的那一帧)
ShowWelcomeEveryDayTrait/spine/main_welcome_popUp.json,Spine 3.8.99,30,_预览/ShowWelcomeEveryDayTrait_spine_main_welcome_popUp.png,900,1175,"-119,-156~133,175",setup pose,,0,
SkinSwitchTrait/dragonbones/NewProject_1_ske.json,DragonBones,6,_预览/SkinSwitchTrait_dragonbones_NewProject_1_ske.png,900,900,"-61,-63~58,56",动画首帧 loading1,,1,摆的是动画 loading1 的第 36 帧(显示插槽最多的那一帧)
SkinSwitchTrait/dragonbones/NoName/set_entranceb_ske.json,DragonBones,29,_预览/SkinSwitchTrait_dragonbones_NoName_set_entranceb_ske.png,900,914,"-215,-215~215,222",动画首帧 effect1,,1,摆的是动画 effect1 的第 36 帧(显示插槽最多的那一帧)
SkinSwitchTrait/dragonbones/set_entrance_ske.json,DragonBones,29,_预览/SkinSwitchTrait_dragonbones_set_entrance_ske.png,900,1158,"-197,-233~197,278",动画首帧 effect1,,1,摆的是动画 effect1 的第 36 帧(显示插槽最多的那一帧)
SolveDiffProblemEncourageTrait/anim/gameplay_ohgenius_ske.json,DragonBones,38,_预览/SolveDiffProblemEncourageTrait_anim_gameplay_ohgenius_ske.png,900,519,"-612,-328~414,252",setup pose,,0,
ThanksAfterAdTrait/dragonbones/gameplayt_Thanks1_ske.json,DragonBones,24,_预览/ThanksAfterAdTrait_dragonbones_gameplayt_Thanks1_ske.png,900,461,"-480,-64~480,415",setup pose,,0,
ThanksAfterAdTrait/dragonbones/gameplayt_Thanks3_ske.json,DragonBones,36,_预览/ThanksAfterAdTrait_dragonbones_gameplayt_Thanks3_ske.png,900,554,"-480,-94~480,487",setup pose,,0,
ThreeSkinRandomOneTrait/dragonbones/gameplay_choiceskin_ske.json,DragonBones,9,_预览/ThreeSkinRandomOneTrait_dragonbones_gameplay_choiceskin_ske.png,900,1082,"-191,-92~193,372",setup pose,,0,
TravelMosaicProgressTrait/spine/main_mosaic.json,Spine 3.8.99,5,_预览/TravelMosaicProgressTrait_spine_main_mosaic.png,900,1087,"-73,-88~73,88",setup pose,,0,
TravelMosaicProgressTrait/spine/main_mosaic_eff.json,Spine 3.8.99,4,_预览/TravelMosaicProgressTrait_spine_main_mosaic_eff.png,900,899,"-192,-178~208,222",动画首帧 init,,0,
UEExploreBeginnerDragTargetHighlightTrait/spine/gameplay_xinshou.json,Spine 3.8.99,4,_预览/UEExploreBeginnerDragTargetHighlightTrait_spine_gameplay_xinshou.png,900,608,"-210,98~106,309",setup pose,,0,
UEExploreGuideCompleteLikeTrait/spines/gameplay_jlc_WellDone.json,Spine 3.8.99,84,_预览/UEExploreGuideCompleteLikeTrait_spines_gameplay_jlc_WellDone.png,900,899,"-400,-337~400,463",setup pose,,0,
UEExplorePopViewGuideTrait/spine/gameplay_tanchuan.json,Spine 3.8.99,40,_预览/UEExplorePopViewGuideTrait_spine_gameplay_tanchuan.png,900,293,"-270,-256~292,-83",setup pose,,0,
WinStreakEffectAdjustTrait/res/effects/gameplay_adventure_handoff_ske.json,DragonBones,18,_预览/WinStreakEffectAdjustTrait_res_effects_gameplay_adventure_handoff_ske.png,900,782,"-135,-106~80,80",动画首帧 crown,,1,摆的是动画 crown 的第 12 帧(显示插槽最多的那一帧)
WinStreakEffectAdjustTrait/res/effects/gameplay_revival_incrown_ske.json,DragonBones,28,_预览/WinStreakEffectAdjustTrait_res_effects_gameplay_revival_incrown_ske.png,900,867,"-81,-78~81,78",动画首帧 idle,,1,摆的是动画 idle 的第 0 帧(显示插槽最多的那一帧)
WinStreakEffectAdjustTrait/res/effects/gameplay_revival_rain_ske.json,DragonBones,12,_预览/WinStreakEffectAdjustTrait_res_effects_gameplay_revival_rain_ske.png,900,952,"-57,-63~61,63",setup pose,,0,
chapter/dragonbones/blocksProducer/traits/gameplay_grayBlock_eliminate_ske.json,DragonBones,1,_预览/chapter_dragonbones_blocksProducer_traits_gameplay_grayBlock_eliminate_ske.png,900,900,"-64,-64~64,64",setup pose,,0,
chapter/dragonbones/chapterList/mapcup_ske.json,DragonBones,622,_预览/chapter_dragonbones_chapterList_mapcup_ske.png,900,564,"-831,-357~463,441",setup pose,,0,
chapter/dragonbones/chapterList/zuobiao_ske.json,DragonBones,11,_预览/chapter_dragonbones_chapterList_zuobiao_ske.png,900,1078,"-62,-38~63,112",setup pose,,0,
